,job_title,location,connection
0, ct bauer college of business graduate magna cum laude and aspiring human resources professional,"houston, texas",85
1,native english teacher at tech english program in korea,kanada,501
2,aspiring human resources professional,"raleigh-durham, north carolina ",44
3,people development coordinator at not tech,"denton, texas",501
4,advisory board member at celal bayar university,"i̇zmir, türkiye",501
5,aspiring human resources specialist, new york city ,1
6,student at humber college and aspiring human resources generalist,kanada,61
7,human resources senior specialist,san francisco bay ,501
8,seeking human resources human resourcesis and generalist positions, philadelphia ,501
9,student at chapman university,"lake forest, california",2
10,senior vice president chief human resources officer marketing  communications corporate social responsibility officer  enteche  houston  the woodlands  energy  global professional in human resources  sphuman resources,"houston, texas ",501
11,human resources coordinator at intercontinental not tech,"atlanta, georgia",501
12,aspiring human resources management student seeking an internship,"houston, texas ",501
13,seeking human resources opportunities,"chicago, illinois",390
14,experienced retail manager and aspiring human resources professional,"austin, texas ",57
15,human resources staffing and recruiting professional,"jackson, mississippi ",501
16,human resources specialist at not tech, new york city ,501
17,director of human resources north america groupe not tech," grand rapids, michigan ",501
18,retired army national guard recruiter office manager  seeking a position in human resources,"virginia beach, virginia",82
19,human resources generalist at scottmadden inc,"raleigh-durham, north carolina ",501
20,business management major and aspiring human resources manager,"monroe, louisiana ",5
21,aspiring human resources manager seeking internship in human resources,"houston, texas ",7
22,human resources professional, boston ,16
23,not tech is seeking human resources payroll  administrative professionals   ,"san jose, california",501
24,aspiring human resources professional  passionate about helping to create an inclusive and engatechng work environment,"new york, new york",212
25,"human resources
conflict management
policies  procedurestalent managementbenefits  compensation",dallas/fort worth ,409
26,human resources generalist at schwans,amerika birleşik devletleri,501
27,liberal arts major aspiring human resources analyst,"baton rouge, louisiana ",7
28,junior mes not techer information systems,"myrtle beach, south carolina ",52
29,senior human resources business partner at not tech,"chattanooga, tennessee ",455
30,aspiring human resources professional  an energetic and teamfocused leader,"austin, texas ",174
31,human resources manager at not tech shine north america,"los angeles, california",268
32,human resources professional for the world leader in techs software,"highland, california",50
33,rrp brand portfolio executive at not tech japan tobacco international, philadelphia ,501
34,information systems specialist and programmer with a love for data and organization,"gaithersburg, maryland",4
35,bachelor of science in biology from victoria university of wellington,"baltimore, maryland",40
36,human resources management major,"milpitas, california",18
37,director human resources  at not tech, atlanta ,349
38,undergraduate research assistant at tech, atlanta ,155
39,lead official at western illinois university, chicago ,39
40,seeking employment opportunities within customer service or patient care,"torrance, california",64
41,admissions representative at community medical center long beach,"long beach, california",9
42,seeking human  resources opportunities open to travel and relocation,amerika birleşik devletleri,415
43,student at westfield state university,"bridgewater, massachusetts",57
44,"student at indiana university kokomo  business management  
retail manager at delphi hardware and paint","lafayette, indiana",19
45,aspiring human resources professional,"kokomo, indiana ",71
46,student,"houston, texas ",4
47,seeking human resources position,"las vegas, nevada ",48
48,aspiring human resources manager  graduating may   seeking an entrylevel human resources position in st louis,"cape girardeau, missouri",103
49,human resources generalist at not tech,"raleigh-durham, north carolina ",501
50,business intelligence and analytics at not techs, new york city ,49
51,always set them up for success, los angeles ,501
52,director of administration at not tech,"katy, texas",501
